atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z,predicted_output
"Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Ga', 'Ga', 'Ga', 'Ga'","0.57067300', '0.42932700', '0.73784000', '0.26216000', '0.00000000', '0.00000000', '0.76750600', '0.23249400', '0.23249400', '0.76750600', '0.14148600', '0.85851400', '0.38655500', '0.61344500'","0.41641600', '0.58358400', '0.08358400', '0.91641600', '0.75000000', '0.25000000', '0.51750600', '0.98249400', '0.48249400', '0.01750600', '0.37746600', '0.62253400', '0.12253400', '0.87746600'","0.15425600', '0.84574400', '0.65425600', '0.34574400', '0.75000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.76402100', '0.23597900', '0.26402100', '0.73597900'","[.75 00 025 075 025 [.,.]05 05 075"
"B', 'B', 'B', 'B', 'Mo', 'Mo', 'Mo', 'Mo'","0.59475500', '0.84475500', '0.15524500', '0.90524500', '0.44701800', '0.69701800', '0.30298200', '0.05298200'","0.09475500', '0.84475500', '0.15524500', '0.40524500', '0.94701800', '0.69701800', '0.30298200', '0.55298200'","0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000'","[.,.67,.25 05 075 025 075 [.]05 025 [.75 075"
"Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Si', 'Si', 'Si', 'Si'","0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000'","0.98118200', '0.01881800', '0.48118200', '0.51881800', '0.65048600', '0.34951400', '0.15048600', '0.84951400', '0.25230400', '0.74769600', '0.75230400', '0.24769600'","0.82670000', '0.17330000', '0.67330000', '0.32670000', '0.92214700', '0.07785300', '0.57785300', '0.42214700', '0.89754400', '0.10245600', '0.60245600', '0.39754400'","[.75 00 025 075 025 [.,.75 [.]05 05 075"
"Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Mo', 'Mo', 'Mo', 'Mo'","0.00000000', '0.00000000', '0.83063300', '0.83063300', '0.33873500', '0.16936700', '0.16936700', '0.66126500', '0.33333300', '0.66666700', '0.66666700', '0.33333300'","0.00000000', '0.00000000', '0.16936700', '0.66126500', '0.16936700', '0.83063300', '0.33873500', '0.83063300', '0.66666700', '0.33333300', '0.33333300', '0.66666700'","0.50000000', '0.00000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.43664200', '0.56335800', '0.93664200', '0.06335800'","[.,.67,.25 00 05 05 [.]05 075 05"
"V', 'V', 'V', 'V', 'V', 'V', 'Ge', 'Ge'","0.00000000', '0.50000000', '0.75000000', '0.00000000', '0.50000000', '0.25000000', '0.50000000', '0.00000000'","0.50000000', '0.25000000', '0.00000000', '0.50000000', '0.75000000', '0.00000000', '0.50000000', '0.00000000'","0.75000000', '0.00000000', '0.50000000', '0.25000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000'","[.,.67,.25 00 05 05 [.75 025 075 [.]05 075"
"Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'","0.85827600', '0.35827600', '0.14172400', '0.64172400', '0.50000000', '0.00000000', '0.69204600', '0.19204600', '0.30795400', '0.80795400', '0.95693100', '0.45693100', '0.54306900', '0.04306900'","0.70613900', '0.29386100', '0.29386100', '0.70613900', '0.00000000', '0.00000000', '0.94732400', '0.05267600', '0.05267600', '0.94732400', '0.53222700', '0.46777300', '0.53222700', '0.46777300'","0.55104300', '0.94895700', '0.44895700', '0.05104300', '0.50000000', '0.00000000', '0.33103100', '0.16896900', '0.66896900', '0.83103100', '0.27114000', '0.22886000', '0.77114000', '0.72886000'","[.75 00 025 075 025 [.,.]05 05 075"
"Dy', 'Sb'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","[.,.75 05 025 075 025 [.25 00 075"
"Tb', 'Tb', 'Pt', 'Pt', 'Pt', 'Pt'","0.00000000', '0.25000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000'","0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.62500000', '0.12500000'","0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Tb', 'Se'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"U', 'U', 'Ti'","0.66666700', '0.33333300', '0.00000000'","0.33333300', '0.66666700', '0.00000000'","0.50000000', '0.50000000', '0.00000000'","[.,.75 05 025 075 025 [.]05 075"
"Ho', 'Hg'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Be', 'O'","0.00000000', '0.75000000'","0.00000000', '0.75000000'","0.00000000', '0.75000000'","00 05 00 00 [.,.]05 05"
"Sm', 'Se'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Nd', 'Nd', 'Fe', 'Fe', 'Fe', 'Fe'","0.25000000', '0.00000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000'","0.25000000', '0.00000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000'","0.25000000', '0.00000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Th', 'Ge'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Tb', 'S'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Pt', 'Se', 'Se'","0.00000000', '0.66666700', '0.33333300'","0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.78641700', '0.21358300'","[.,.75 05 025 075 025 [.]05 075"
"Y', 'Te'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Ba', 'Al', 'Al', 'Al', 'Al'","0.00000000', '0.25000000', '0.75000000', '0.38107200', '0.61892800'","0.00000000', '0.75000000', '0.25000000', '0.38107200', '0.61892800'","0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Be', 'Be', 'Be', 'Be', 'Be', 'Au'","0.37535700', '0.75000000', '0.37535700', '0.37535700', '0.87392800', '0.00000000'","0.37535700', '0.75000000', '0.87392800', '0.37535700', '0.37535700', '0.00000000'","0.37535700', '0.75000000', '0.37535700', '0.87392800', '0.37535700', '0.00000000'","[.,.6715 05 025 075 025 [.75 075 [.]05 075"
"Al', 'Ir'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Te', 'Te', 'Rh', 'Rh'","0.33333300', '0.66666700', '0.00000000', '0.00000000'","0.66666700', '0.33333300', '0.00000000', '0.00000000'","0.25000000', '0.75000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Cd', 'Pt'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","[.,.75 05 025 075 025 [.,5 075"
"Zr', 'Hg', 'Hg', 'Hg'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.50000000', '0.00000000', '0.50000000'","0.00000000', '0.00000000', '0.50000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'As', 'As', 'As', 'As', 'As', 'As'","0.13687600', '0.86312400', '0.23109400', '0.76890600', '0.56503600', '0.43496400', '0.14239500', '0.85760500', '0.17601400', '0.82398600', '0.54520900', '0.45479100'","0.13687600', '0.86312400', '0.23109400', '0.76890600', '0.56503600', '0.43496400', '0.14239500', '0.85760500', '0.17601400', '0.82398600', '0.54520900', '0.45479100'","0.59020500', '0.40979500', '0.70073000', '0.29927000', '0.90818200', '0.09181800', '0.94552500', '0.05447500', '0.33804000', '0.66196000', '0.68586500', '0.31413500'","[.75 00 025 075 025 [.,.75 [.]05 05 075"
"Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'","0.12963800', '0.87036200', '0.05447900', '0.94552100', '0.78127000', '0.21873000', '0.67603600', '0.32396400', '0.24154400', '0.75845600', '0.58983800', '0.41016200', '0.95659300', '0.04340700', '0.87107700', '0.12892300'","0.12963800', '0.87036200', '0.05447900', '0.94552100', '0.78127000', '0.21873000', '0.67603600', '0.32396400', '0.24154400', '0.75845600', '0.58983800', '0.41016200', '0.95659300', '0.04340700', '0.87107700', '0.12892300'","0.95368000', '0.04632000', '0.63911400', '0.36088600', '0.73617500', '0.26382500', '0.94524900', '0.05475100', '0.75588900', '0.24411100', '0.65836300', '0.34163700', '0.84740600', '0.15259400', '0.55696900', '0.44303100'","[.75 00 025 075 025 [.,.]05 05 075 [..] 05"
"Mn', 'Te'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh'","0.00000000', '0.00000000', '0.47119100', '0.52880900', '0.94238100', '0.05761900', '0.47119100', '0.52880900', '0.19281200', '0.80718800', '0.38562300', '0.61437700', '0.19281200', '0.80718800', '0.80718800', '0.80718800', '0.38562300', '0.61437700', '0.19281200', '0.19281200', '0.33333300', '0.66666700', '0.12975000', '0.87025000', '0.25950100', '0.74049900', '0.12975000', '0.87025000'","0.00000000', '0.00000000', '0.94238100', '0.47119100', '0.47119100', '0.52880900', '0.52880900', '0.05761900', '0.38562300', '0.19281200', '0.19281200', '0.80718800', '0.80718800', '0.61437700', '0.19281200', '0.61437700', '0.19281200', '0.80718800', '0.38562300', '0.80718800', '0.66666700', '0.33333300', '0.25950100', '0.12975000', '0.12975000', '0.87025000', '0.87025000', '0.74049900'","0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.94199700', '0.44199700', '0.44199700', '0.94199700', '0.94199700', '0.05800300', '0.05800300', '0.44199700', '0.05800300', '0.55800300', '0.55800300', '0.55800300', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000'","[...,.75 00 05 00 [..]00 075 05 [.].. "
"V', 'V', 'V', 'V', 'V', 'V', 'Co', 'Co'","0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000'","0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000'","[.,.67,.25 05 075 025 075 [.]05 025 [.75 075"
"Dy', 'Dy', 'Fe', 'Fe', 'Fe', 'Fe'","0.00000000', '0.25000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000'","0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000'","0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.62500000', '0.12500000'","[.,.6715 05 025 075 025 [.75 075 [.]05 075"
"Tb', 'Cu'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Th', 'Cd', 'Cd'","0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.66666700', '0.33333300'","0.00000000', '0.50000000', '0.50000000'","[.,.75 05 025 075 025 [.]05 075"
"Mo', 'Mo', 'As', 'As', 'As', 'As'","0.65335300', '0.34664700', '0.35368700', '0.64631300', '0.09753400', '0.90246600'","0.65335300', '0.34664700', '0.35368700', '0.64631300', '0.09753400', '0.90246600'","0.29852700', '0.70147300', '0.03245900', '0.96754100', '0.60629200', '0.39370800'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Sr', 'S'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","[.,.75 05 025 075 025 [.,5 075"
"Ba', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag'","0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.66666700', '0.33333300', '0.00000000', '0.50000000', '0.50000000'","0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Th', 'Th', 'Th', 'Th', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re'","0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.00000000', '0.00000000', '0.83051400', '0.16948600', '0.66102900', '0.33897100', '0.83051400', '0.16948600'","0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.00000000', '0.00000000', '0.66102900', '0.83051400', '0.83051400', '0.16948600', '0.16948600', '0.33897100'","0.06092700', '0.56092700', '0.93907300', '0.43907300', '0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000'","[.75 00 025 075 025 [.,.]05 05 075"
"Nd', 'Nd', 'Nd', 'Nd', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'","0.18285300', '0.68285300', '0.31714700', '0.81714700', '0.91198900', '0.58801100', '0.41198900', '0.08801100', '0.03887000', '0.17422000', '0.82578000', '0.96113000', '0.46113000', '0.53887000', '0.67422000', '0.32578000', '0.00000000', '0.50000000', '0.00000000', '0.50000000'","0.68285300', '0.81714700', '0.18285300', '0.31714700', '0.58801100', '0.08801100', '0.91198900', '0.41198900', '0.17422000', '0.96113000', '0.03887000', '0.82578000', '0.67422000', '0.32578000', '0.53887000', '0.46113000', '0.00000000', '0.50000000', '0.00000000', '0.50000000'","0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.20479600', '0.79520400', '0.79520400', '0.20479600'","[...,.75 00 05 00 [..]00 075 05 [.].. "
"Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Au', 'Au'","0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000'","0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000'","[.,.67,.25 00 075 025 05 05 [.]025 075"
"Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al'","0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.50754900', '0.49245100', '0.01509700', '0.98490300', '0.50754900', '0.49245100', '0.16861400', '0.83138600', '0.33722800', '0.66277200', '0.16861400', '0.83138600', '0.83138600', '0.83138600', '0.33722800', '0.66277200', '0.16861400', '0.16861400'","0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.01509700', '0.50754900', '0.50754900', '0.49245100', '0.49245100', '0.98490300', '0.33722800', '0.16861400', '0.16861400', '0.83138600', '0.83138600', '0.66277200', '0.16861400', '0.66277200', '0.16861400', '0.83138600', '0.33722800', '0.83138600'","0.25000000', '0.75000000', '0.08529400', '0.58529400', '0.91470600', '0.41470600', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.58255000', '0.08255000', '0.08255000', '0.58255000', '0.58255000', '0.41745000', '0.41745000', '0.08255000', '0.41745000', '0.91745000', '0.91745000', '0.91745000'","[...,.75 00 05 00 [..]00 075 05 [.] 05"
"Ca', 'Ca', 'Zn', 'Zn', 'Zn', 'Zn'","0.69965400', '0.30034600', '0.27444400', '0.72555600', '0.89746700', '0.10253300'","0.44965400', '0.55034600', '0.83595500', '0.16404500', '0.83595500', '0.16404500'","0.25000000', '0.75000000', '0.43848800', '0.56151200', '0.06151200', '0.93848800'","[.75 00 025 075 025 [.,.75 [.]05 075"
"Ho', 'Pd', 'Pd', 'Pd'","0.00000000', '0.00000000', '0.50000000', '0.50000000'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.50000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'","0.50000000', '0.10336400', '0.39663600', '0.00000000', '0.89663600', '0.00000000', '0.60336400', '0.50000000', '0.79781700', '0.95218300', '0.75000000', '0.20218300', '0.25000000', '0.29781700', '0.70218300', '0.04781700', '0.54781700', '0.75000000', '0.25000000', '0.45218300'","0.00000000', '0.50000000', '0.39663600', '0.10336400', '0.89663600', '0.60336400', '0.50000000', '0.00000000', '0.25000000', '0.25000000', '0.29781700', '0.95218300', '0.20218300', '0.54781700', '0.75000000', '0.79781700', '0.75000000', '0.45218300', '0.04781700', '0.70218300'","0.60336400', '0.00000000', '0.39663600', '0.50000000', '0.89663600', '0.50000000', '0.00000000', '0.10336400', '0.04781700', '0.20218300', '0.54781700', '0.25000000', '0.95218300', '0.75000000', '0.45218300', '0.25000000', '0.29781700', '0.70218300', '0.79781700', '0.75000000'","[.75 00 025 075 025 [.,.]00 05 075 [..] 05"
"V', 'V', 'V', 'V', 'V', 'V', 'Rh', 'Rh'","0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000'","0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000'","[.,.67,.25 05 075 025 075 [.]05 025 [.75 075"
"K', 'K', 'K', 'K', 'K', 'K', 'S', 'S', 'S', 'S', 'S', 'S'","0.00000000', '0.35743900', '0.64256100', '0.00000000', '0.69287700', '0.30712300', '0.66666700', '0.66666700', '0.33333300', '0.33333300', '0.00000000', '0.00000000'","0.64256100', '0.35743900', '0.00000000', '0.30712300', '0.69287700', '0.00000000', '0.33333300', '0.33333300', '0.66666700', '0.66666700', '0.00000000', '0.00000000'","0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.18113700', '0.81886300', '0.81886300', '0.18113700', '0.67987000', '0.32013000'","[.75 00 025 075 025 [.,.]05 05 075"
"Ba', 'Ba', 'N'","0.73266900', '0.26733100', '0.00000000'","0.73266900', '0.26733100', '0.00000000'","0.73266900', '0.26733100', '0.00000000'","[.,.75 05 025 075 025 [.]05 075"
"Tm', 'Ga', 'Ga', 'Ga'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.50000000', '0.00000000', '0.50000000'","0.00000000', '0.00000000', '0.50000000', '0.50000000'","[.75 05 025 075 025 [.,.]05 075"
"Ge', 'Ge', 'Ge', 'Ge', 'Pd', 'Pd', 'Pd', 'Pd'","0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000'","0.81385200', '0.18614800', '0.31385200', '0.68614800', '0.99573300', '0.00426700', '0.49573300', '0.50426700'","0.57949300', '0.42050700', '0.92050700', '0.07949300', '0.19033100', '0.80966900', '0.30966900', '0.69033100'","[.75 00 025 075 025 [.,.75 [.]05 05 075"
"Tm', 'As'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Pu', 'O', 'O'","0.00000000', '0.75000000', '0.25000000'","0.00000000', '0.75000000', '0.25000000'","0.00000000', '0.75000000', '0.25000000'","[.,.75 05 025 075 025 [.]05 075"
"Zn', 'O'","0.00000000', '0.75000000'","0.00000000', '0.75000000'","0.00000000', '0.75000000'","00 05 00 00 [.5 05 [.,.]05 075 05"
"Mn', 'Mn', 'Mn', 'Mn', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'","0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.11921300', '0.88078700', '0.38078700', '0.61921300', '0.88078700', '0.11921300', '0.61921300', '0.38078700'","0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.88078700', '0.38078700', '0.11921300', '0.61921300', '0.11921300', '0.61921300', '0.88078700', '0.38078700'","0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.38078700', '0.11921300', '0.88078700', '0.61921300', '0.61921300', '0.88078700', '0.11921300', '0.38078700'","[.75 00 025 075 025 [.,.]05 05 075"
"Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N'","0.67537600', '0.32462400', '0.00000000', '0.32462400', '0.67537600', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.66102300', '0.33897700', '0.00000000', '0.33897700', '0.66102300', '0.00000000', '0.33897700', '0.66102300', '0.00000000', '0.66102300', '0.33897700', '0.00000000'","0.67537600', '0.00000000', '0.32462400', '0.32462400', '0.00000000', '0.67537600', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.66102300', '0.00000000', '0.33897700', '0.33897700', '0.00000000', '0.66102300', '0.33897700', '0.00000000', '0.66102300', '0.66102300', '0.00000000', '0.33897700'","0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.37806600', '0.37806600', '0.37806600', '0.62193400', '0.62193400', '0.62193400', '0.87806600', '0.87806600', '0.87806600', '0.12193400', '0.12193400', '0.12193400'","[...,.75 00 05 00 [..]00 075 05 [.].. "
"Ga', 'Sb'","0.00000000', '0.25000000'","0.00000000', '0.25000000'","0.00000000', '0.25000000'","00 05 00 00 [.,.]05 05 [.75 025 025"
"Sm', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni'","0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.66666700', '0.33333300', '0.00000000', '0.50000000', '0.50000000'","0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"U', 'Ir', 'Ir', 'Ir'","0.00000000', '0.00000000', '0.50000000', '0.50000000'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.50000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.]05 075"
"Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'","0.23500100', '0.00673000', '0.26499900', '0.74111400', '0.26561700', '0.23438300', '0.46938500', '0.47611500', '0.03061500', '0.02388500', '0.75888600', '0.49327000', '0.76499900', '0.99327000', '0.73500100', '0.25888600', '0.50673000', '0.24111400', '0.97611500', '0.96938500', '0.52388500', '0.53061500', '0.76561700', '0.73438300', '0.72819500', '0.25000000', '0.47819500', '0.75000000', '0.02180500', '0.77180500', '0.27180500', '0.75000000', '0.52180500', '0.25000000', '0.97819500', '0.22819500', '0.50000000', '0.00000000', '0.00000000', '0.50000000'","0.26561700', '0.47611500', '0.02388500', '0.00673000', '0.75888600', '0.46938500', '0.49327000', '0.74111400', '0.26499900', '0.03061500', '0.23500100', '0.23438300', '0.73438300', '0.52388500', '0.97611500', '0.99327000', '0.76561700', '0.76499900', '0.96938500', '0.73500100', '0.25888600', '0.50673000', '0.53061500', '0.24111400', '0.75000000', '0.02180500', '0.72819500', '0.47819500', '0.77180500', '0.25000000', '0.25000000', '0.97819500', '0.27180500', '0.52180500', '0.22819500', '0.75000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000'","0.75888600', '0.74111400', '0.03061500', '0.47611500', '0.23500100', '0.49327000', '0.23438300', '0.00673000', '0.02388500', '0.26499900', '0.26561700', '0.46938500', '0.24111400', '0.25888600', '0.96938500', '0.52388500', '0.53061500', '0.73438300', '0.73500100', '0.97611500', '0.99327000', '0.76561700', '0.50673000', '0.76499900', '0.47819500', '0.77180500', '0.75000000', '0.72819500', '0.25000000', '0.02180500', '0.52180500', '0.22819500', '0.25000000', '0.27180500', '0.75000000', '0.97819500', '0.00000000', '0.00000000', '0.50000000', '0.50000000'","[...,.75 00 05 00 [.]00 075 05 [. [..] 05"
"Zr', 'Zr', 'Zr', 'Zr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr'","0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.00000000', '0.00000000', '0.83256000', '0.16744000', '0.66512000', '0.33488000', '0.83256000', '0.16744000'","0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.00000000', '0.00000000', '0.66512000', '0.83256000', '0.83256000', '0.16744000', '0.16744000', '0.33488000'","0.06005600', '0.56005600', '0.93994400', '0.43994400', '0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000'","[.75 00 025 075 025 [.,.75 [.]00 05 05"
"V', 'V', 'V', 'V', 'S', 'S', 'S', 'S'","0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000'","0.80225600', '0.69774400', '0.30225600', '0.19774400', '0.92316300', '0.07683700', '0.42316300', '0.57683700'","0.98969600', '0.48969600', '0.51030400', '0.01030400', '0.71977600', '0.28022400', '0.78022400', '0.21977600'","[.,.67,.25 05 075 025 075 [.]05 025 [.75 075"
